Code,Name,City
DEL,Indira Gandhi International Airport,Delhi
BOM,Chhatrapati Shivaji Maharaj International Airport,Mumbai
BLR,Kempegowda International Airport,Bengaluru
HYD,Rajiv Gandhi International Airport,Hyderabad
CCU,Netaji Subhas Chandra Bose International Airport,Kolkata
MAA,Chennai International Airport,Chennai
AMD,Sardar Vallabhbhai Patel International Airport,Ahmedabad
COK,Cochin International Airport,Kochi
GOI,Goa International Airport (Dabolim),Goa
PAT,Jay Prakash Narayan Airport,Patna
